,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
117,0,2,1,3,2,2,2,2,3,1,1,2,2,2,0,2,1,0,1,3,1,2,2,1,1,0,50,50,5,2,No
118,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,3,0,1,2,2,2,1,0,0,50,50,0,2,Yes
119,0,4,1,3,1,1,1,1,1,0,1,1,1,0,0,1,1,3,3,0,2,2,2,1,1,1,50,50,0,2,Maybe
120,0,3,1,0,0,1,1,0,1,1,1,2,2,0,0,2,2,0,1,1,2,2,1,0,0,1,49,49,0,2,Maybe
121,0,2,1,3,2,2,0,0,5,1,1,0,2,2,0,0,1,0,1,1,2,0,1,0,2,0,50,50,1,2,No
122,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,1,0,0,1,2,1,2,1,0,1,34,33,7,2,Yes
123,0,2,0,1,2,1,1,0,2,2,0,1,0,0,0,0,1,3,1,2,2,2,2,1,2,0,22,21,5,2,Yes
124,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,3,3,2,2,0,2,1,1,0,50,50,5,2,Yes
125,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,0,3,0,2,0,1,3,0,50,50,5,0,Maybe
126,0,0,0,0,1,2,1,0,4,2,0,2,1,0,0,0,1,0,0,3,1,0,0,1,0,0,50,50,8,2,Maybe
127,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,2,0,0,1,2,1,1,0,0,1,34,33,4,2,No
128,0,1,1,0,1,0,0,0,5,0,0,2,2,0,0,1,0,0,1,1,2,1,1,0,0,1,21,20,5,2,No
129,0,2,1,3,1,1,1,1,3,0,1,1,0,2,0,0,1,3,3,1,2,1,1,0,1,0,50,50,8,2,No
130,0,5,0,0,0,1,0,0,4,0,0,1,0,0,0,1,1,0,0,1,2,0,2,1,1,1,50,50,0,2,Maybe
131,0,4,1,3,1,1,0,0,2,2,0,0,1,1,0,0,1,3,3,3,1,0,2,1,1,1,50,50,5,2,Maybe
132,0,3,1,1,0,1,1,0,2,2,1,0,2,1,0,2,1,3,0,3,1,2,2,1,0,1,50,50,0,2,Yes
133,0,5,0,3,1,1,2,2,0,0,1,0,2,0,0,1,1,3,0,3,2,0,2,1,0,1,50,50,0,2,Yes
134,0,5,1,0,1,2,0,0,1,1,1,0,2,2,0,1,1,1,1,0,1,2,1,0,0,1,50,50,5,2,No
135,0,5,0,3,0,1,0,2,0,0,1,1,0,0,0,0,0,3,0,1,2,1,1,0,0,1,50,50,3,2,No
136,0,2,1,3,1,1,0,0,0,1,1,1,0,2,0,0,1,0,0,1,2,1,1,1,0,1,50,50,5,2,Maybe
137,0,2,1,0,0,1,0,0,3,1,1,2,2,0,0,2,0,0,1,1,2,1,1,0,0,1,50,50,8,0,No
138,0,1,1,3,2,1,0,0,2,2,1,1,1,1,0,0,1,0,0,0,2,0,2,1,2,0,50,50,8,2,Yes
139,0,1,1,3,2,2,2,2,3,1,1,2,2,0,0,2,0,0,1,2,1,2,2,1,0,1,50,50,0,2,Yes
140,0,0,1,1,2,1,1,1,4,0,0,1,1,0,0,1,1,3,3,2,2,2,2,1,1,2,11,10,5,0,Yes
141,0,2,1,0,1,1,0,0,0,2,0,1,0,0,0,1,1,3,0,0,2,0,1,0,2,0,50,50,5,2,No
142,0,3,1,3,1,1,0,0,0,0,1,0,2,2,0,0,0,3,3,0,0,2,0,1,0,0,50,50,5,0,Maybe
143,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,1,2,2,2,1,2,1,49,49,5,1,Yes
144,0,2,1,3,0,1,1,1,3,0,1,1,2,2,0,2,1,3,3,1,2,0,2,1,0,0,50,50,10,2,Yes
145,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,3,3,1,2,0,0,0,1,1,22,21,0,0,Maybe
146,0,2,1,3,1,1,1,0,4,2,0,0,0,1,1,0,1,4,1,2,2,1,2,1,0,1,50,50,5,2,Yes
147,0,4,1,3,2,1,0,1,3,1,1,2,2,2,0,0,1,3,0,0,2,1,1,1,1,1,50,50,4,2,No
148,0,4,1,0,1,1,0,0,2,1,1,2,2,2,0,0,0,1,0,2,1,2,2,0,0,2,11,10,5,2,No
149,0,5,1,1,0,1,1,0,4,2,0,1,1,1,1,1,1,3,3,3,2,1,1,0,1,1,50,50,8,2,No
150,0,5,0,3,2,0,2,2,5,1,1,0,2,2,0,2,2,1,1,1,2,1,2,1,1,1,50,50,10,2,Yes
151,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,4,0,2,0,0,2,0,1,1,50,50,7,0,Yes
152,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,3,3,1,2,1,2,1,3,0,50,50,7,0,No
153,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,50,50,0,0,Maybe
154,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,1,0,0,0,1,2,2,1,0,0,50,50,7,0,Yes
155,0,2,1,0,1,2,1,0,5,1,1,2,2,0,0,0,0,3,1,1,2,0,0,0,2,1,50,50,0,0,No
156,0,1,1,3,1,1,0,0,3,0,0,2,2,0,0,2,0,3,1,1,2,1,1,0,0,1,50,50,8,1,No
157,0,2,1,1,0,1,0,2,4,2,0,0,0,0,0,1,1,4,1,0,2,0,2,1,0,1,50,50,2,2,Yes
158,0,5,0,0,1,1,1,0,2,2,0,1,1,1,0,1,1,3,3,1,2,1,1,0,1,1,11,10,5,0,No
159,0,3,1,3,2,1,0,2,3,0,0,1,1,1,0,1,1,3,0,1,2,1,0,0,2,1,50,50,11,2,No
160,0,4,1,3,2,1,2,2,5,1,1,0,2,2,0,2,1,3,0,2,2,2,2,1,2,1,50,50,4,2,Yes
161,0,5,0,3,2,1,0,0,2,0,0,0,0,2,0,1,1,3,3,0,0,1,2,1,1,0,50,50,0,1,Yes
162,0,1,1,3,2,1,2,0,3,0,1,0,1,0,0,2,1,3,0,0,2,1,2,0,1,0,50,50,4,2,Yes
163,0,5,0,3,2,2,2,2,5,2,0,1,1,2,0,0,1,3,3,1,2,0,1,1,3,0,50,50,6,1,No
